Lake,WBIC,County,x9KE_plan,Lake_Type_NR_10206_confirmed_by_MG,Lake_Type_ROW,type_comment,Priority,Stratified,TP_critiera_NR_10206,area_ac,depth_mean_ft_ROW,depth_max_ft_ROW ,volume_ac_ft_lake_maps,vol_medium_est_ROW_ac_ft,volume_final_ac_ft,volume_source,stratified_equation_NR_1024,subbasin,subbasins_in_SWAT,subbasins_in_SWAT_correct,subbasins_out_SWAT,subbasins_out_SWAT_correct,internally_drained_swat,internally_drained_swat_correct,seasonal_septic,permanent_septic,total_septic,monitoring_station_SWIMS,gsm_2015_to_2020,count_2015_to_2020,gsm_all,count_all,min_date_all,max_date_all
Becker,77300,Calumet,cal-man (included wilms),Drainage,Drainage,,impaired,Yes,30,35.16,15,51,510.7,,510.7,lake map,13.4,SUBBA_187,1 to many,unsure,yes,yes,no,yes,1,2,3,BeckersÿLakeÿ-ÿDeepestÿPart,0.484,29,0.429,55,8/8/1979,9/8/2020
Boot,77600,Calumet,cal-man (included wilms),Seepage,Drainage,"Currently listed as Drainage in ROW, but is actually Seepage (per MG). Denis previously didn't change it because Onterra LLC recently (2019) changed it to drainage fo the 9KE pan. ",impaired,Yes,20,10.51,6,15,86.4,,86.4,lake map,7.1,SUBBA_180,0,yes,no,"yes, outlet does not continually flow",yes,yes,,6,6,BootÿLakeÿ-ÿDeepestÿPart,0.836,22,0.655,39,8/20/1979,9/18/2017
Bullhead,68300,Manitowoc,"No, but a mgmt plan (included wilms)",Seepage,Drainage,"Currently listed as Drainage in ROW, but is actually Seepage (per MG). Denis previously didn't change it because Onterra LLC recently (2019) changed it to drainage for a mgmt plan.  ",impaired,Yes,20,69.52,13,40,878.4,,878.4,lake map,8.3,SUBBA_178,0,yes,no,yes,yes,yes,3,21,24,BullheadÿLakeÿ-ÿDeepÿHole,0.296,41,0.152,132,7/21/1990,8/25/2020
Carstens,66800,Manitowoc,pine creek (no wilms),Drainage,Drainage,,impaired,Yes,30,22.34,12,30,249,,249,lake map,9.5,SUBBA_176,0,yes,yes,yes,no,yes,4,6,10,CarstensÿLakeÿ-ÿDeepÿHoleÿ-ÿMiddle,0.095,18,0.193,63,7/12/1976,9/2/2020
East Alaska,94200,Kewaunee,,Drainage ,Drainage ,,low,No,30,50.36,17,50,896.2,876.6,896.2,lake map,11.6,,,,,,,,,,,EastÿAlaskaÿLakeÿ-ÿDeepÿHole,0.013,3,0.129,80,7/27/1973,9/7/2018
Eaton North ,68400,Manitowoc,,Seepage,Seepage,,high,No,,5.45,,24,,60.8,60.8,lake map,21.0,,,,,,,,,,,EatonÿTwinÿLakeÿ-ÿNorthÿ-ÿDeepÿHole,0.011,1,0.018,3,7/22/2012,7/28/2015
Eaton South,68700,Manitowoc,,,Seepage,,high,No,,5.56,,21,,61.7,61.7,lake map,17.9,,,,,,,,,,,EatonÿTwinÿLakeÿ-ÿSouthÿ-ÿDeepÿHole,0.029,1,0.035,3,7/22/2012,7/28/2015
English,68100,Manitowoc,,Seepage,Seepage,,impaired,Yes,20,47.95,,80,,1538.7,1538.7,ROW medium estimate,18.9,SUBBA_177,0,yes,yes,"no, outlet does not does not continually flow",no,no,31,29,60,EnglishÿLakeÿ-ÿDeepÿHole,0.028,18,0.078,39,7/12/1976,8/29/2020
Gass,67100,Manitowoc,pine creek (no wilms),Drainage,Drainage,,impaired,Yes,30,5.98,,24,73.7,,73.7,lake map,18.8,SUBBA_175,0 to many,unsure,no,"no, a continually flowing outlet exisits ",yes,no,0,4,4,GassÿLakeÿ-ÿDeepestÿPoint,0.106,13,0.083,23,7/12/1976,9/1/2020
Harpt,84600,Kewaunee,,Seepage,Seepage,,impaired,Yes,20,32.2,,54,623.9,,623.9,lake map,14.7,SUBBA_181,0 to 1,"unsure, probably not",yes,"no, outlet does not does not continually flow",no,no,4,4,8,HarptÿLakeÿ-ÿDeepÿHole,0.038,18,0.056,49,6/6/1977,9/1/2020
